group,phase,trial,agent,recipient,result
A1,learn,1,31,52,43
A1,learn,2,31,32,43
A1,learn,3,31,61,42
A1,learn,4,31,51,42
A1,learn,5,31,33,44
A1,learn,6,31,43,44
A1,gen,1,31,42,
A1,gen,2,34,41,
A1,gen,3,51,32,
A1,gen,4,53,34,
A1,gen,5,31,32,
A2,learn,1,34,42,43
A2,learn,2,63,42,73
A2,learn,3,52,42,63
A2,learn,4,41,42,53
A2,learn,5,53,42,63
A2,learn,6,61,42,73
A2,gen,1,31,42,
A2,gen,2,34,41,
A2,gen,3,51,32,
A2,gen,4,53,34,
A2,gen,5,41,42,
